Bróker	Alaptőke	Január	Február	Március	Április	Május	Június	Július	Augusztus	Szeptember	Október	November	December
Nagy Sándor	1000000	1180000	800000	1170000	1040000	1000000	860000	960000	1080000	1020000	870000	990000	1030000
Kiss Balázs	1500000	1710000	1740000	1635000	1785000	1275000	1275000	1650000	1410000	1320000	1230000	1500000	1485000
Kun Aladár	1250000	1125000	1100000	1262500	1325000	1212500	1450000	1012500	1425000	1125000	1425000	1450000	1437500
Sőtér Ilona	2000000	1700000	1820000	2120000	2280000	2180000	2200000	1980000	2180000	2320000	1800000	2220000	1780000
Babos Kata	1750000	1522500	1907500	1942500	1855000	2047500	1400000	1872500	2012500	1960000	1960000	1452500	1872500
Dér János	1000000	1140000	1140000	960000	940000	1180000	1160000	820000	1090000	1010000	1000000	1100000	1200000
Gedei Flóra	1200000	960000	1416000	1104000	1068000	1344000	1200000	1236000	1308000	972000	1320000	1164000	1255000
Vén Dezső	1500000	1380000	1260000	1380000	1455000	1440000	1665000	1470000	1245000	1410000	1605000	1410000	1380000
Vad Péter	2000000	1840000	2080000	1620000	1800000	1780000	1920000	2180000	2320000	1620000	2060000	1840000	1720000
Vass Zoltán	1750000	1662500	1767500	1610000	1452500	1540000	1907500	1627500	1487500	2012500	1855000	1732500	1995000
